,weekNum,partNum,realCount,backorder,done,product_qty,date_planned,backorderStatus,netQty
1453,24,SFTY-1-02-30,0.0,False,False,,,,
1454,24,SFTY-1-02-30,0.0,False,False,,,,
1455,24,SFTY-1-02-30,0.0,False,False,,,,
1456,24,SFTY-1-02-30,0.0,False,False,,,,
1457,24,SFTY-1-02-31,0.0,False,False,,,,
1458,24,SFTY-1-02-31,0.0,False,False,,,,
1459,24,SFTY-1-02-31,0.0,False,False,,,,
1460,24,SFTY-1-02-31,0.0,False,False,,,,
1461,24,TS-1-01-23ACRES,0.0,False,False,,,,
1462,24,TS-1-01-23ACRES,0.0,False,False,,,,
1463,24,SFTY-1-01-70,0.0,False,False,,,,
1464,24,SFTY-1-01-70,0.0,False,False,,,,
1465,24,SFTY-1-01-80,0.0,False,False,,,,
1466,24,SFTY-1-01-80,0.0,False,False,,,,
1467,24,SFTY-1-01-64,0.0,False,False,,,,
1468,24,SFTY-1-01-64,0.0,False,False,,,,
1469,24,SFTY-1-01-64,0.0,False,False,,,,
1470,24,SFTY-1-01-64,0.0,False,False,,,,
1471,24,SFTY-1-01-60,0.0,False,False,,,,
1472,24,SFTY-1-01-60,0.0,False,False,,,,
1473,24,SFTY-1-01-61,0.0,False,False,,,,
1474,24,SFTY-1-01-61,0.0,False,False,,,,
1475,24,SFTY-1-01-62,0.0,False,False,,,,
1476,24,SFTY-1-01-62,0.0,False,False,,,,
1477,24,SFTY-1-01-63,0.0,False,False,,,,
1478,24,SFTY-1-01-63,0.0,False,False,,,,
1479,24,FT-1-01-NFV3A,0.0,False,False,,,,
1480,24,FT-1-01-NFV3A,0.0,False,False,,,,
1481,24,FT-1-01-N3AS,0.0,False,False,,,,
1482,24,FT-1-01-N3AS,0.0,False,False,,,,
1483,24,False,0.0,False,False,,,,
1484,24,False,0.0,False,False,,,,
1485,24,False,0.0,False,False,,,,
1486,24,False,0.0,False,False,,,,
1487,24,False,0.0,False,False,,,,
1488,24,False,0.0,False,False,,,,
1489,24,False,0.0,False,False,,,,
1490,24,False,0.0,False,False,,,,
1491,24,False,0.0,False,False,,,,
1492,24,False,0.0,False,False,,,,
1493,24,False,0.0,False,False,,,,
1494,24,False,0.0,False,False,,,,
1495,24,False,0.0,False,False,,,,
1496,24,False,0.0,False,False,,,,
1497,24,False,0.0,False,False,,,,
1498,24,False,0.0,False,False,,,,
1499,24,False,0.0,False,False,,,,
1500,24,False,0.0,False,False,,,,
1501,24,False,0.0,False,False,,,,
1502,24,False,0.0,False,False,,,,
1503,24,False,0.0,False,False,,,,
1504,24,False,0.0,False,False,,,,
1505,24,False,0.0,False,False,,,,
1506,24,False,0.0,False,False,,,,
1507,24,False,0.0,False,False,,,,
1508,24,False,0.0,False,False,,,,
1509,24,False,0.0,False,False,,,,
1510,24,False,0.0,False,False,,,,
1511,24,False,0.0,False,False,,,,
1512,26,False,0.0,False,False,,,,
1513,26,DET-1-01-650CON,0.0,False,False,,,,
1514,26,PS-1-02-HV600W,0.0,False,False,,,,
1515,26,ELEC-1-ACHEAT-01-4000,0.0,False,False,,,,
1516,26,SFTY-1-02-30,0.0,False,False,,,,
1517,26,SFTY-1-02-30,0.0,False,False,,,,
1518,26,SFTY-1-02-31,0.0,False,False,,,,
1519,26,SFTY-1-02-31,0.0,False,False,,,,
1520,26,TS-1-01-23ACRES,0.0,False,False,,,,
1521,26,SFTY-1-01-70,0.0,False,False,,,,
1522,26,SFTY-1-01-80,0.0,False,False,,,,
1523,26,SFTY-1-01-64,0.0,False,False,,,,
1524,26,SFTY-1-01-64,0.0,False,False,,,,
1525,26,SFTY-1-01-60,0.0,False,False,,,,
1526,26,SFTY-1-01-61,0.0,False,False,,,,
1527,26,SFTY-1-01-62,0.0,False,False,,,,
1528,26,SFTY-1-01-63,0.0,False,False,,,,
1529,26,FT-1-01-NFV3A,0.0,False,False,,,,
1530,26,FT-1-01-N3AS,0.0,False,False,,,,
1531,26,False,0.0,False,False,,,,
1532,26,False,0.0,False,False,,,,
1533,26,False,0.0,False,False,,,,
1534,26,False,0.0,False,False,,,,
1535,26,False,0.0,False,False,,,,
1536,26,False,0.0,False,False,,,,
1537,26,False,0.0,False,False,,,,
1538,26,False,0.0,False,False,,,,
1539,26,False,0.0,False,False,,,,
1540,26,False,0.0,False,False,,,,
1541,26,False,0.0,False,False,,,,
1542,26,False,0.0,False,False,,,,
1543,26,False,0.0,False,False,,,,
1544,26,False,0.0,False,False,,,,
1545,27,False,0.0,False,False,,,,
1546,27,DET-1-01-650CON,0.0,False,False,,,,
1547,27,PS-1-02-HV600W,0.0,False,False,10.0,2022-07-08 16:00:00,False,10.0
